gene_id	tissue	expression
ENSG00000142615.7	Pancreas	6451
ENSG00000142615.7	Pancreas	1.029e+04
ENSG00000142615.7	Pancreas	2422
ENSG00000142615.7	Pancreas	542.6
ENSG00000142615.7	Pancreas	1.019e+04
ENSG00000142615.7	Pancreas	1.694e+04
ENSG00000142615.7	Pancreas	1054
ENSG00000142615.7	Pancreas	116.4
ENSG00000142615.7	Pancreas	8010
ENSG00000142615.7	Pancreas	5535
ENSG00000142615.7	Pancreas	1103
ENSG00000142615.7	Pancreas	6435
ENSG00000142615.7	Pancreas	3894
ENSG00000142615.7	Pancreas	7269
ENSG00000142615.7	Pancreas	1773
ENSG00000142615.7	Pancreas	4618
ENSG00000142615.7	Pancreas	4859
ENSG00000142615.7	Pancreas	1207
ENSG00000142615.7	Pancreas	1.306e+04
ENSG00000142615.7	Pancreas	5060
ENSG00000142615.7	Pancreas	1.235e+04
ENSG00000142615.7	Pancreas	9443
ENSG00000142615.7	Pancreas	4573
ENSG00000142615.7	Pancreas	1040
ENSG00000142615.7	Pancreas	8768
ENSG00000142615.7	Pancreas	5880
ENSG00000142615.7	Pancreas	1647
ENSG00000142615.7	Pancreas	1775
ENSG00000142615.7	Pancreas	3697
ENSG00000142615.7	Pancreas	7163
ENSG00000142615.7	Pancreas	3059
ENSG00000142615.7	Pancreas	1.438e+04
ENSG00000142615.7	Pancreas	1.102e+04
ENSG00000142615.7	Pancreas	8857
ENSG00000142615.7	Pancreas	1.07e+04
ENSG00000142615.7	Pancreas	1788
ENSG00000142615.7	Pancreas	5854
ENSG00000142615.7	Pancreas	1.047e+04
ENSG00000142615.7	Pancreas	1171
ENSG00000142615.7	Pancreas	1.023e+04
ENSG00000142615.7	Pancreas	5754
ENSG00000142615.7	Pancreas	6506
ENSG00000142615.7	Pancreas	2222
ENSG00000142615.7	Pancreas	4038
ENSG00000142615.7	Pancreas	1288
ENSG00000142615.7	Pancreas	1.123e+04
ENSG00000142615.7	Pancreas	3072
ENSG00000142615.7	Pancreas	6731
ENSG00000142615.7	Pancreas	6391
ENSG00000142615.7	Pancreas	1714
ENSG00000142615.7	Pancreas	2268
ENSG00000142615.7	Pancreas	7522
ENSG00000142615.7	Pancreas	1.012e+04
ENSG00000142615.7	Pancreas	1.137e+04
ENSG00000142615.7	Pancreas	1.167e+04
ENSG00000142615.7	Pancreas	923.7
ENSG00000142615.7	Pancreas	261.8
ENSG00000142615.7	Pancreas	1326
ENSG00000142615.7	Pancreas	1092
ENSG00000142615.7	Pancreas	1281
ENSG00000142615.7	Pancreas	606.2
ENSG00000142615.7	Pancreas	4519
ENSG00000142615.7	Pancreas	2326
ENSG00000142615.7	Pancreas	4060
ENSG00000142615.7	Pancreas	4637
ENSG00000142615.7	Pancreas	5297
ENSG00000142615.7	Pancreas	6310
ENSG00000142615.7	Pancreas	5153
ENSG00000142615.7	Pancreas	2089
ENSG00000142615.7	Pancreas	1106
ENSG00000142615.7	Pancreas	3814
ENSG00000142615.7	Pancreas	4089
